* Funky input line bahážat	bahážat	+?
* Funky input line badjosat	i høyden	XXX
* Funky input line buotdin	kaikki tyynni	XXX
* Funky input line gas cō: puskii (koiralle) XXX
* Funky input line peaila	neljänneslitran mitta	XXX
* Funky input line preantár	kirjanpainaja	XXX
* Funky input line preanttidit	painaa (kirjoja)	XXX
njeađgat	tuiskuttaa (tie tms.) umpeen (tuulesta)	V	+?
njeađggáskit	alkaa tuiskuttamaan (tie tms.) umpeen	V	+?
njeahcet	saraheinä	N	+?
njealjádas	neljännes	N	N
njealjit	nelisoutu (meriveneestä)	N	+?
njealljánit	jakaantua neljään osaan	V	+?
njeaššut	rapakoitua	V	+?
njeavdi	lampaannata	N	N
njeazzut	irveessä	Adv|V	+?
njeazzut	irvistellä	Adv|V	V
njeccodit	irvistellä (silloin tällöin)	V	+?
njeccon	irvistelijä	N	N
njeđgot	tuiskuttua	V	+?
njejohat	(keväinen) jäkälännostopaikka& lakoheinä& (keväinen) jäkälännostopaikka& lakoheinä	N	+?
njelot	nelikko	N	N
njezzet	irvistää (kerran)	V	+?
njiđđat	luisua	V	V
njiedjalit	laskeutua (nopeasti)& alkaa laskeutua& laskeutua (nopeasti)& alkaa laskeutua	V	+?
njiehcadit	panna tai saada vettymään& veltostuttaa& panna tai saada vettymään& veltostuttaa	V	+?
njiejahat	laskeutumispaikka (jäälle)	N	+?
njielahallat	joutua (jkn) nielemäksi	V	+?
njielahat	(putouksen) nielu	N	+?
njielastat	nielaisu	N	N
njielastit	nielaista	V	V
njierrá	hiiri	N	N
njiezat	vettynyt puu	N	+?
njigaidit	kimittää	V	V
njihtalas	petollinen	+?	A
njiŋŋálas	naaras	A|N	N
njirdot	harhaantua	V	V
njirgalit	ruikauttaa	V	+?
njirgehit	panna tai saada ruikkaamaan	V	+?
njirget	ruikata	V	V
njirttastat	ommel (haljenneen keramiikka- tai puuastian korjaamiseksi)	N	+?
njirtut	ommella (keramiikka- tai puuastian halkeama)	V	+?
njirvat	kastua likomäräksi (nahkavaatteissa) (= šnjarvat)	+?	+?
njirvi	likomärkä nahkavaate (= šnjarvi)	N	+?
njirvvas	likomärkä (nahkavaatteista) (= šnjarvvas)	+?	+?
njiškun	nauhapirta	N	+?
njiškut	kutoa nauhapirralla	V	+?
njivdnja	täinmunat	N	+?
njivkkádit	inahtaa	V	V
njivkkihit	inahtaa	V	V
njivlái	limainen& veltto& limainen& veltto	+?	+?
njivli	lima	N	N
njivlut	limoittua& tulla painostavaksi (pilvisestä ilmasta)& limoittua& tulla painostavaksi (pilvisestä ilmasta)	V	+?
njivžžanas	lieska	N	N
njoahcut	hidastua	V	V
njoaidduiduvvat	loiventua (rinteestä& vähin erin)& loiventua (rinteestä& vähin erin)	V	+?
njoaiddumus	loivin (rinteestä)	+?	+?
njoaiddus	loiva (rinteestä)	A	+?
njoaiddut	loivempi (rinteestä)	+?	+?
njoaládit	nuolaista (kerran)	V	+?
njoalostit	nuolaista	V	V
njoalput	alas luiskahtaneena (vyöstä tms.)	Adv	+?
njoammelsuoidni	lehtokorte	N	+?
njoammudahttit	tartuttaa (tauti jkhun& vahingossa)& tartuttaa (tauti jkhun& vahingossa)	V	+?
njoammu	erittäin tarttuva (taudista)	A|N	+?
njoammu	matelija	A|N	N
njoaradit	kaadella (esim. kahvia)	V	+?
njoarosteaddji	suopunginheittäjä	N	+?
njoavdnja	pikkunieriä	N	+?
njoazan	vitkuttelija	N	+?
njoazášit	pitää hitaana	V	+?
njoazit	hitaasti	Adv	Adv
njođahas	sekamelska	N	N
njohcut	silmustaa& pyydystää (vasa) virvelillä& silmustaa& pyydystää (vasa) virvelillä	V	+?
njoiddosmit	loiventua (rinteestä)	+?	+?
njoiddosmuvvat	loiventua (rinteestä)	V	+?
njovggiidit	lähteä laumana liikkeelle& lisääntyä (eläimistä)& saada paljon loisia (ihmisistä ja vaatteista)& lähteä laumana liikkeelle& lisääntyä (eläimistä)& saada paljon loisia (ihmisistä ja vaatteista)& lähteä laumana liikkeelle& lisääntyä (eläimistä)& saada paljon loisia (ihmisistä ja vaatteista)	V	+?
njuikehat	hyppyri	N	N
njuikestat	hypähdys	N	N
njuikkohat	hyppimispaikka	N	+?
njuikkon	hyppijä	N	N
njuikun	hyppy	N	N
njulgestaga	suorastaan& suoraan (kääntymättä tai pysähtymättä)& suorastaan& suoraan (kääntymättä tai pysähtymättä)	Adv	+?
njunnádas	keulakuorma (ahkiossa)	N	+?
njunnegeahči	nenänpää	N	N
njunnet	vainuta	V	V
njunuhit	sitoa (poro turvan ympäri)	V	+?
njuohcu	raate	N	+?
njuolgadit	saada tai panna oikenemaan	V	+?
njuolvá	ressukka	N	N
njuolvi	ressukka	A|N	N
njuorat	vastasyntynyt vasa& (yhd.) vastasyntynyt& vastasyntynyt vasa& (yhd.) vastasyntynyt	N	+?
njuorddáhallat	alistua	V	V
njuorggis	rusto	N	N
njuorjjot	hyljekenkä	N	+?
njuorvadit	saada (jkin pehmeä) myötäämään	V	+?
njuoskadahttit	kastella (vahingossa)	V	+?
njuoskanjaddit	maistua raa’alta	V	+?
njuoski	helposti kastuva	A	+?
njuoskil	helposti kastuva	A	+?
njuoskkadas	kostuke	N	+?
njuoskkadit	kastua (vähin erin)	V	+?
njuoskkistit	tuntua märältä	V	+?
njuovadeapmi	teurastus	N	N
njuovahallat	joutua teurastettavaksi (esim. tokasta erkaantunut poro)	V	+?
njuovalmas	teurastus (suurisuuntainen)	N	+?
njuovan	(aikaansaapa) teurastaja	N	+?
njuovildit	nyljeskellä (vähin erin)	V	+?
njuovžžas	oppivainen (ajokkaasta)	A	+?
njuozat	pehmennyt kala& vetelys& pehmennyt kala& vetelys	N	+?
njuozzut	kaulita	V	V
njurget	viheltää (kerran)	V	+?
njurggádit	viheltää (äkkiä tai kerran)	V	+?
njurggon	viheltelijä	N	+?
njurgut	viheltää	V	V
njuskkiidit	tuntua märältä	V	+?
njuvddán	innokas survoja& survoin& innokas survoja& survoin	N	+?
njuvvat	hietakampela	N	+?
njuvvui	limainen (kalasta)	+?	+?
noađáskit	lähteä kantamaan taakkaa	V	+?
noađástit	kantaa taakkanaan	V	+?
noađuštit	sälyttää	V	V
noaiddes	noitakonsteja käyttävä	A	+?
noarsa	mutu (kalalaji)	N	+?
noarvi	piena	N	N
noavkalit	hotkaista	V	V
noavkkádit	hotkaista	V	V
nođđu	kerä	N	N
nođus	kerällä oleva	+?	+?
nogihit	loppua (äkkiä)	V	+?
nohkkadallat	nukutella	V	+?
nohkkadit	nukuttaa	V	V
nohkka	tarpeeksi	Adv	Adv
nohkkivaš	katoavainen (esineistä)& rajallinen& katoavainen (esineistä)& rajallinen	A	+?
nollagit	kyykistyä	V	V
nollas	kykkivä	A	+?
nollihit	kyykistyä (äkkiä)	V	+?
nolliidit	kyykistyä	V	V
no	no	Adv|Pcle	Pcle& Interj
norddahallat	joutua jnk töytäisemäksi& joutua jnk satuttamaksi& joutua jnk töytäisemäksi& joutua jnk satuttamaksi	V	+?
norddahit	antaa jkun töniä& panna tai saada jku tönimään& antaa jkun satuttaa& panna tai saada jku satuttamaan& antaa jkun töniä& panna tai saada jku tönimään& antaa jkun satuttaa& panna tai saada jku satuttamaan& antaa jkun töniä& panna tai saada jku tönimään& antaa jkun satuttaa& panna tai saada jku satuttamaan& antaa jkun töniä& panna tai saada jku tönimään& antaa jkun satuttaa& panna tai saada jku satuttamaan	V	+?
norgalaš	Norjan kansalainen	A|N	+?
Norga	Norja	N	N
notkasit	tukkeutua	V	V
notkašuvvat	tukkeutua	V	V
novrrán	koillinen& koillistuuli& koillinen& koillistuuli	N	+?
nuba	niinpä	+?	Pcle
nuhkkalit	nykäistä& nyökätä& nykäistä& nyökätä	V	+?
nuhkuštit	retuuttaa	V	V
nuissodit	tallustella	V	V
nuktalit	nuhdella	V	V
nulla	nolla	N	N
nummarastit	numeroida	V	V
nummar	numero	N	N
nuogis	tarpeeksi	Adv	Adv
nuohtti	nuotta	N	N
nuohttut	nuotata	V	V
nuoluid	kapaloimattomana (lapsesta)	Adv	+?
nuondat	voipua	V	V
nuorašit	pitää nuorena	V	+?
nuorasmit	nuortua	+?	V
nuorasmuvvat	nuortua	V	V
nuorta	itä& (R) pohjoinen& itä& (R) pohjoinen	N	+?
nuortaliidda	jonkin verran idemmäs& (R) jonkin verran pohjoisemmas& jonkin verran idemmäs& (R) jonkin verran pohjoisemmas	Adv	+?
nuortalii	idemmäs& pohjoisemmas (R)& idemmäs& pohjoisemmas (R)	Adv	+?
nuorti	itä& (R) pohjoinen& itä& (R) pohjoinen	N	+?
nuorttabuš	vähän itäisempi& (R) vähän pohjoisempi& vähän itäisempi& (R) vähän pohjoisempi	+?	+?
nuorttamus	itäisin& (R) pohjoisin& itäisin& (R) pohjoisin	A	+?
nuorttas	itään& (R) pohjoiseen& itään& (R) pohjoiseen	Adv	+?
nuorttat	itäisempi& (R) pohjoisempi& itäisempi& (R) pohjoisempi	+?	+?
nuortta-	yhd.: ’itä-& (R) pohjois-’& yhd.: ’itä-& (R) pohjois-’	+?	+?
nuoská	siivoton ihminen	N	+?
nuovhlu	tiiviste (tapin tms. ympärillä)	N	+?
nuovvut	liestyä (köydestä)	V	+?
nuppelágán	toisenlainen	+?	A
nuppos	toisaalle	Adv	Adv
nurddagit	tylpentyä	V	V
nurddas	tylppä	A	A
nurdi	tylppä esine	N	+?
nurrodat	nuoruus	N	N
nursahuvvat	tylpentyä	V	V
nursi	tylppä esine	N	+?
nurššagit	turvottua (erit. paleltumasta)	V	+?
nurssagit	tylpentyä	V	V
nurssas	tylppä	A	A
nuršu	turpea ihminen (erit. paleltuneesta)	N	+?
nurvui	nuhainen	+?	A
nuvkkihit	nyökätä (äkkiä)	V	+?
nuvsku	nuuska	N	N
nuvsku	tukko (reiän tukkimiseksi)	N	+?
nuvvalas	nuriseva	+?	+?
oaččálaš	lihallinen	+?	A
oaččástit	irstailla	V	V
oaččohit	saada (lopultakin jku tekemään jtak)	V	+?
oaččostit	saada (vähän)& saada selkäänsä& saada (vähän)& saada selkäänsä	V	+?
oađđáhit	nukuttaa& nukuttaa (kuolon uneen)& nukuttaa& nukuttaa (kuolon uneen)	V	+?
oađestuvvat	tulla uniseksi	V	+?
oađihit	antaa nukkua (liian pitkään)& nukuttaa (jkta tietyn ajan)& vahtia (nukkuvaa)& antaa nukkua (liian pitkään)& nukuttaa (jkta tietyn ajan)& vahtia (nukkuvaa)& antaa nukkua (liian pitkään)& nukuttaa (jkta tietyn ajan)& vahtia (nukkuvaa)	V	+?
oaffar	uhri	N	N
oaffaruššat	uhrata	V	V
Oaggut	Väinämöisen vyö	+?	+?
oahccái	levollinen	A	A
oahcit	levollinen	A	A
oahkuladdat	kuljeskella (tarmokkaasti)	V	+?
oahpadit	kokea (useita ansoja tms.)	V	+?
oahpásmit	tutustua	+?	V
oahppameahttun	oppimaton& kovapäinen& oppimaton& kovapäinen	A	+?
oahppan	oppinut	+?	A& N
oahppil	oppivainen	A	A
oaidnemeahttun	näkymätön	A	+?
oaidnil	selvänäköinen	A	A
oaidni	näkijä& vahti (erit. lapsenvahti)& selvänäkijä& näkijä& vahti (erit. lapsenvahti)& selvänäkijä& näkijä& vahti (erit. lapsenvahti)& selvänäkijä	N	+?
oaidnut	nähden	Pr|Po	Po
oaidu	hyljelaji (norppa?)	N	+?
oainnašit	nähdä (silloin tällöin vähän)	V	+?
oaittáskit	ryhdistäytyä (ja ruveta töihin)	V	+?
oaivádat	parvi (kaloja)	N	+?
oaivvahat	kerä	N	N
oakkostit	onkia (vähän)& ruveta onkimaan& onkia (vähän)& ruveta onkimaan	V	+?
oakkuhit	auttaa onkimaan& panna tai saada onkimaan& pitää onkimassa& auttaa onkimaan& panna tai saada onkimaan& pitää onkimassa& auttaa onkimaan& panna tai saada onkimaan& pitää onkimassa	V	+?
oaktái	kuuroinen (ilmasta)	+?	+?
oalga	olki	N	N
oalgguhus	yllytys	N	N
oalis	olas	N	N
oalul	alaleuka	N	+?
oamážastit	omia	V	V
oamedovddolaš	omantunnonarka	A	+?
oamedovdu	omatunto	N	N
oamivánhurskkis	omahyväinen	A	A
oanášit	pitää (liian) lyhyenä	V	+?
oaraheapme	nuoraton& jolla on liian vähän nuoraa& nuoraton& jolla on liian vähän nuoraa	A	+?
oarda	orsi (kalankuivaustelineessä: näiden varassa lepäävät selkoimet)	N	+?
oardnji	kylmänarka olio& kylmänarka& kylmänarka olio& kylmänarka	A|N	+?
oardnjudit	tehdä kylmänaraksi	V	+?
oardnjut	tulla kylmänaraksi	V	+?
oarján	lännessä asuva saamelainen& (R) etelässä asuva saamelainen& lännessä asuva saamelainen& (R) etelässä asuva saamelainen	N	+?
oarjeliidda	jonkin verran lännemmäs& (R) jonkin verran etelämmäs& jonkin verran lännemmäs& (R) jonkin verran etelämmäs	Adv	+?
oarjil	lännempää (ohi)& (R) etelämpää (ohi)& lännempää (ohi)& (R) etelämpää (ohi)	Adv|Pr|Po	+?
oarji	länsi& (R) etelä& länsi& (R) etelä	N	+?
oarjjibuš	vähän läntisempi& (R) vähän eteläisempi& vähän läntisempi& (R) vähän eteläisempi	+?	+?
oarjjit	läntisempi& (R) eteläisempi& läntisempi& (R) eteläisempi	+?	+?
oarskieddu	peruke (pitkässäsiimassa)	N	+?
oarstuddu	peruke (pitkässäsiimassa)	N	+?
oartnjas	kylmänarka	A	+?
oasálaš	osallinen& onnekas& osallinen& onnekas	N	+?
oastáladdat	ostella (paljon)	V	+?
oastaladdat	yrittää ostaa (usean kerran)	V	+?
oastálas	innokas ostamaan	+?	+?
oastalit	yrittää ostaa	V	+?
oastil	innokas ostamaan	A	+?
oasti	ostaja	N	N
oasttašit	ostella (vähin erin)	V	+?
oasttestit	ostaa (vähän t. ohimennen)	V	+?
oasttihit	ostattaa	V	V
oasttistit	ostaa (muka vähän t. ohimennen)	V	+?
oastu	ostos	N	N
oatna	vihi	N	N
oatni	lyhyt	A	A
oaván	urho& urhea& urho& urhea	A|N	+?
oavlái	väljä (vaatteesta)	A	+?
oavnnjildit	seurata (tuntumassa)	V	+?
oavnnjil	tuntumassa (= perässä)	Adv	+?
oavnnjistit	seurata (tuntumassa)	V	+?
oavsseheapme	oksaton& vähäoksainen& oksaton& vähäoksainen	A	+?
oazistit	nuotata virrassa olevaa sulkua vasten& asettaa verkkopato nuottausta varten& nuotata virrassa olevaa sulkua vasten& asettaa verkkopato nuottausta varten	V	+?
oažžul	onnekas tai taitava saamaan (erit. saalista)	A	+?
obbanaga	kokonaisena	Adv	+?
obehit	opettaa	V	V
obmui	silmäkkeinen (suosta)	A	+?
ođašit	pitää (liian) uutena	V	+?
ođastit	hankkia (jtak uutta)& uudistaa& hankkia (jtak uutta)& uudistaa	V	+?
ođat	uutukainen esine	N	+?
ođđabeaivi	uudenvuodenpäivä	N	N
ođđačalmmat	uudenkipeä	A	+?
ođđaivnnálaš	kirkkaanvärinen& verevä (kasvoiltaan)& kirkkaanvärinen& verevä (kasvoiltaan)	A	+?
ođđajahki	uusivuosi	N	N
ođđasis	uudestaan	Adv	Adv
ođut	uutukainen esine	N	+?
oggolas	innokas onkimaan	+?	+?
ogohahttalit	panna (koira) ajamaan (usein tai jatkuvasti) takaa (poroja)	V	+?
ogohas	selkävyö (poron valjaissa)	N	+?
ogon	huijari	N	N
ohcalas	rinnushalkiossa oleva (käsistä)	A	+?
ohkoladdalas	säntäilevä (erit. vasaansa etsivästä vaatimesta)	+?	+?
ohkolahkes	säntäilevä (erit. vasaansa etsivästä vaatimesta)	+?	+?
ohpit	taas kerran	Adv	+?
oidit	suosia	V	V
okcii	yhdeksän kertaa	Adv	+?
okkon	innokas onkija	N	+?
oktahat	yksi ja sama	Pron	+?
oktan	yhdessä	Adv	Adv
oktat	yksi ja sama	A	+?
oktet	yhteyttää	V	V
oktii	kerran	Adv	Adv
oktii	yhteen& vastakkain& toinen toistensa kanssa& yhteen& vastakkain& toinen toistensa kanssa& yhteen& vastakkain& toinen toistensa kanssa	Adv	+?
olbmoborranrássi	väinönputki	N	N
olgehit	pystyä heittämään (jllek etäisyydelle)	V	+?
olggubuš	vähän ulompi	A	+?
olggumus	uloin	+?	A
olggut	ulompi	A	A
olgonit	loitota (ulommas)	V	+?
olgul	ulompaa (ohi)	Adv	+?
ollehit	saattaa loppuun	V	+?
ollisvuohta	kokonaisuus	N	N
ollodat	ollodahkii: mittaan	+?	+?
olmmošvuohta	inhimillisyys& ihmisyys& inhimillisyys& ihmisyys	N	+?
ološit	paljoksua	V	V
olugat	monet (ihmiset)	+?	+?
onddodit	nilkuttaa (jatkuvasti)	V	+?
onnestuvvat	onnistua	V	V
on	taas	Adv	Pcle
opmodat	omaisuus	N	N
orbbeš	nimetön sormi tai vastaava varvas	N	+?
ordái	särmikäs	+?	+?
ordi	särmä	N	N
orrostit	pysähtyä (lyhyeksi aikaa)	V	+?
orrul	levollinen (lapsesta)	+?	+?
oskál	luottamus	N	N
oskkáldasvuohta	uskollisuus	N	N
oskkolaš	uskovainen	A	A& N
osolaš	osallinen& osakas& osallinen& osakas	N	+?
ostašuvvat	parkkiintua (nahasta)	V	+?
ostet	parkita (nahkaa pajunkuoriuutteella)	V	+?
osttus	pajunoksa (josta parkkisuikaleet kuoritaan)	N	+?
otnánaga	juuri tänään	Adv	+?
otná	tämänpäiväinen	A	A
ovccádassii	yhdeksänneksi& yhdeksännen kerran& yhdeksänneksi& yhdeksännen kerran	Adv	+?
ovccádas	yhdeksäsosa	N	N
ovdalii	edemmäs& edelle& edemmäs& edelle	Adv	+?
ovdamearka	esimerkki	N	N
ovdasaš	etiäinen	N	N
ovddimustá	aikaisintaan& ensimmäisenä& pikimmin& aikaisintaan& ensimmäisenä& pikimmin& aikaisintaan& ensimmäisenä& pikimmin	Adv	+?
ovstalii	idemmäs	Adv	Adv
ovsttán	itätuuli	N	N
ovsttas	itään (päin)	Adv	+?
ovttot ládje	aina vain	+?	+?
ozadit	etsiskellä	V	V
páhkkašuvvat	paakkuuntua XXX	+?	+?
pálbmamuorra	palmupuu	N	N
pálbma	palmunoksa	N	+?
pánta	pantti	N	N
pántet	pantata	V	V
párragoddi	pariskunta	N	N
pássa	passi	N	N
pássár	harppi	N	N
persovnnalaččat	henkilökohtaisesti	Adv	Adv
pláŋkosahá	lankkusaha	N	N
plásttar	laastari	N	N
plokka	aura	N	N
plokket	aurata	V	V
prámá	proomu	N	N
prentedit	kirjoittaa painokirjaimia	V	+?
prentet	painaa (kirjoja)	V	+?
proavás	rovasti	N	N
profehta	profeetta	N	N
pumpa	pumppu	N	N
pumpet	pumpata	V	V
rábát	rapakko	N	N
rabbalit	lähteä (kiireesti jnnek)	V	+?
rabihit	räpsähtää	V	V
rábmái	jossa on paljon metsärinteitä	A	+?
ráččas	punoittava (kasvoiltaan)	A	+?
ráđálaš	neuvokas	+?	+?
ráđđa	aste	N	N
ráđđádallat	neuvotella	V	V
ráđđái	neuvokas	+?	+?
ráđđa	rivi	N	N
ráđđedagat	sopimus	N	N
ráđđejeaddji	hallitsija	A|N	N
ráđđidit	neuvotella	V	V
ráddi	kekäle	N	N
ráddiluvvat	hiiltyä (pinnaltaan)	V	+?
ráddjil	tarkka (tavaroistaan)	A	+?
ráddut	tulla kekäleitä täyteen (tulisijasta)	V	+?
rádjánas	tavaroistaan tarkasti huolehtiva	N	+?
rádjerihkku	raajarikoksi	Adv	+?
rádjerihkot	raajarikkoinen	+?	A
rádnet	porata (metallia kehrottimella)	V	+?
ráđus	(erittäin) jyrkkä (rinteestä)	A	+?
ráfáiduvvat	rauhoittua	V	V
ráfeheapme	rauhaton	A	+?
ráfi	rauha	N	N
ráfohit	rauhoittaa	V	V
rágeštit	rykäistä (kurkkuaan)	V	+?
rággalit	mätkäyttää	V	V
rágget	suikaloida (erit. lohta t. ruijanpallasta kuivattavaksi)	V	+?
rággi	suikale (kuivattua kalanlihaa)	N	+?
rággu	kaari (veneen)	N	+?
raguhit	panna tai saada rehkimään& menettää (kala siksi että koukku oikenee)& panna tai saada rehkimään& menettää (kala siksi että koukku oikenee)	V	+?
ráhččat	pingottaa kuivumaan (nahka peidinpuuhun)	V	+?
rahkadas	aluskasvillisuus	N	N
ráhkaniibi	partaveitsi	N	N
rahkánit	repeytyä (irti)	V	+?
ráhket	ajaa partaa	V	+?
ráhkistuvvat	rakastua	V	V
ráhkisvuohta	rakkaus	N	N
ráhkkásaš-	(pl.) ráhkkásaččat: rakastavaiset	+?	+?
ráhkku	haavauma (kalassa)	N	+?
ráhkku	rakko	N	N
ráhku	rako (halkeama)	N	+?
ráhpa	rasvakerros (ruijanpaltaan selässä ja vatsassa)	N	+?
ráhpásmit	tulla kivikkoiseksi	+?	+?
ráhpásmuvvat	tulla kivikkoiseksi	V	+?
rahpastit	kiskaista (ulos esim. laatikosta tai alas esim. hyllyltä)	V	+?
ráhppái	rapainen	+?	A
rahppasit	tipahtaa (esim. hyllyltä)	V	+?
rahppi	avaaja	N	N
ráhtte	suppilo	N	N
ráidá	raita (bot.)	N	+?
ráiddohas	raitomies	N	+?
ráiddolaš	raidollinen& raitomies& raidollinen& raitomies	+?	+?
ráidejuššat	raitioida (hoitaa talollisen poroja omassa tokassaan)	V	+?
ráidi	raitio (talollisten poroja omassa tokassaan hoitava)	N	+?
ráidnet	puhdistaa	V	V
ráikkistit	mekastaa	V	V
ráikut	ruoskia	V	V
ráiku	villikko	N	N
ráiskudit	resuta (humalassa)	V	+?
rakčut	räpyttää (siipiään)	V	+?
rákkihit	mätkähtää	V	V
ráksái	jossa on paljon rauhasia	+?	+?
raksa	(lapsen) vaippa& komsion kuivikkeena käytettävä sammal& (lapsen) vaippa& komsion kuivikkeena käytettävä sammal	N	+?
ráksá	rauhanen	N	N
rákset	poistaa rauhasia (lihasta tms.)	V	+?
rámádus	ylistys	N	N
ramas	luomenreuna	N	+?
rámastahttit	ruveta viettämään (rinteestä)	V	+?
rámbi	rampa	N	A& N
rámbut	rampautua	V	V
rámidit	ylistää	V	V
rámmát	raamattu	N	N
rámpa	puupino	N	N
rámpet	pinota (polttopuita)	V	+?
rampi	huithapeli& liian lyhyitä vaatteita pitävä henkilö& huithapeli& liian lyhyitä vaatteita pitävä henkilö	N	+?
ramppuhit	kulkea liian lyhyissä vaatteissa	V	+?
ramput	mennä (jnnek) liian lyhyissä vaatteissa	V	+?
rámškalit	heilauttaa (käsiään)& hulmauttaa (esim. vaatetta)& räpäyttää (siipiään)& heilauttaa (käsiään)& hulmauttaa (esim. vaatetta)& räpäyttää (siipiään)& heilauttaa (käsiään)& hulmauttaa (esim. vaatetta)& räpäyttää (siipiään)	V	+?
rámski	mullin mallin oleva esine tai tila	N	+?
rámskkagit	mennä mullin mallin	V	+?
rámskkil	mullin mallin	Adv	+?
ránan	harmo	N	+?
rančát	olla jssak puolialastomana	V	+?
ranččas	puolialaston	A	A
ranči	puolialaston olio	N	+?
ránci	sotamies (korteissa)	N	+?
rančut	mennä jnnek puolialastomana	Adv|V	+?
ránesskuolfi	lapinpöllö	N	N
raŋgádit	rötköttää	V	V
raŋgalit	kellistää	V	V
raŋggagit	kellistyä	V	V
ráŋggáštit	rangaista	V	V
ráŋggáštus	rangaistus	N	N
raŋggihit	kellahtaa (nurin)	V	+?
rápma	kehys	N	N
ráppaštit	aiheuttaa (pieniä) pyörteitä (joen vedessä)	V	+?
ráškalit	mätkäyttää	V	V
ráškkihit	mätkähtää	V	V
rássa	kerta	N	Pcle& N
rássa	rassi	N	N
rássa	rotu	N	N
rásselohkku	heinäsirkka	N	N
ráššui	jolloin on paljon rankkasateita	+?	+?
ráššu	kylmä rankkasade	N	+?
rássut	ruohottua	V	V
rášudit	tulla rankkasade	V	+?
rátkka	(poro)erotus	N	+?
rátnut	harmaantua (mustasta lampaasta vanhemmiten)	V	+?
ráttas	jääkylmä	A	A
ráttástuvvat	häkeltyä& hermostua& häkeltyä& hermostua	V	+?
ravččuhit	räpiköidä	V	V
ravdadit	varustaa (naisenlakin etureuna) koristenauhalla	V	+?
rávda	lupikka	N	+?
ravddagit	liian läheltä reunaa	Adv	+?
ravddaheapme	jonka reunassa ei ole koristenauhaa (naistenlakista)	A	+?
rávddásmit	tulla kireälypsyiseksi	+?	+?
rávddásmuvvat	tulla kireälypsyiseksi	V	+?
ravddat	reunaporo (joka pysyttelee tokan reunoilla)	N	+?
rávddis	kireälypsyinen	A	+?
ravggadit	kaatuilla	V	V
ravggodit	tempoilla (erit. ajoporoa hihnasta)	V	+?
rávgoš	suokukko	N	N
ravkalit	räpäyttää (silmää)	V	+?
ravkkuhit	räpytellä (silmiä)	V	+?
rávnnjehuvvat	ruveta virtaamaan hitaasti	V	+?
rávnnuiduvvat	kuntoutua (hyvin levänneestä vetoporosta)	V	+?
rávnnut	hyvin levännyt ja kuntoutunut vetoporo	N	+?
rávrrabihkka	piki	N	+?
rávvehus	kehotus& neuvonta& kehotus& neuvonta	N	+?
rávvohallat	muistutella	V	V
ražáskit	ruveta rehkimään	V	+?
rážžadit	saada tai panna kasvot punoittumaan	V	+?
rážžat	punoittua (kasvoista)	V	+?
readnját	seistä jököttää (lyhyillä jaloillaan)	V	+?
reaggánit	uupua	V	V
reaggašuvvat	tulla araksi (kaloista)	V	+?
reahcas	harottava (lyhyistä jaloista)	A	+?
reahcci	(lyhyet) jalat harallaan seisova olio	N	+?
reahccut	kulkea (lyhyet) jalat harallaan	Adv|V	+?
reahpenjávri	saivojärvi (uskomusten mukaan kaksipohjainen)	N	+?
reahtta	ruokalaji	N	N
reaidnár	poropaimen	N	+?
reaidnu	(porojen) paimennus	N	+?
reainnidit	paimentaa (poroja)	V	+?
reakčái	jossa on paljon laakeita savihieruoita (esim. vuonosta)	+?	+?
reakci	härmäsieni	N	N
reakcut	peittyä härmäsieneen	V	+?
realssistit	kulkea avokaulaisena (takin tai peskin povi auki)	V	+?
reaŋggaš	renkeineen	Adv	+?
reantu	korko	N	+?
reaská	muikku	N	N
reašmi	(verkon) paula& juuriköysi& (verkon) paula& juuriköysi	N	+?
reastaluvvat	kärsiä vararikko& kuluttaa jkin melkein loppuun& kärsiä vararikko& kuluttaa jkin melkein loppuun	V	+?
reavas	herkkäuninen (lapsesta)	A	+?
reavgálas	röyhtäilevä(inen)	+?	+?
reavgganas	röyhtäisy	N	N
reavgit	röyhtäillä& räkättää (kiirunasta)& röyhtäillä& räkättää (kiirunasta)	V	+?
reavgut	röyhtäillä	V	V
reavrát	olla jssak länkisäärisenä	V	+?
reavri	länkisääri	N	N
reavrras	länkisäärinen	A	A
reavrut	mennä jnnek länkisäärisenä	V	+?
reavvas	länkisäärinen	A	A
reavvat	herättää (kesken unien)	V	+?
reavvi	länkisääri	N	N
reavžalit	lähteä jnnek harottavin jaloin	V	+?
reavžut	mennä jnnek harottavin jaloin	Adv|V	+?
reavžžagit	mennä haralleen	V	+?
reavžžas	harottava	A	A
reavžžuhit	kulkea harottavin jaloin	V	+?
registtar	rekisteri	N	N
rehkenuššat	laskea	V	V
rehkket	riittää	V	V
reikedit	astella edestakaisin (lattialla)	V	+?
reiket	astella edestakaisin (lattialla)	V	+?
reiskáhppi	pyyntiväline	N	N
reŋgot	palvella renkinä	V	+?
rentet	maksaa korkoa	V	+?
revgolas	röyhtäilevä(inen)	+?	+?
ribadit	yrittää riistää& tapella (jstak esineestä)& riistää (toisiltaan)& yrittää riistää& tapella (jstak esineestä)& riistää (toisiltaan)& yrittää riistää& tapella (jstak esineestä)& riistää (toisiltaan)	V	+?
